,location,beds,price,baths,half_baths
365,East,1,820.0,1,0
366,Null,1,825.0,1,0
367,Null,1,825.0,1,0
368,West,1,825.0,1,0
369,North,1,825.0,1,0
370,North,1,825.0,1,0
371,Null,2,825.0,1,0
372,Null,2,825.0,1,0
373,Null,1,826.0,1,0
374,North,1,830.0,1,0
375,North,1,830.0,1,0
376,North,1,830.0,1,0
377,North,1,830.0,1,0
378,Null,2,835.0,1,0
379,West,2,900.0,1,0
380,West,2,849.0,1,0
381,Null,1,840.0,1,1
382,Null,1,840.0,1,0
383,Null,1,840.0,1,0
384,Null,1,840.0,1,0
385,Null,1,845.0,1,0
386,Null,1,845.0,1,0
387,North,1,845.0,1,0
388,East,1,905.0,1,0
389,Null,2,849.0,1,0
390,East,2,850.0,1,0
391,East,2,850.0,1,0
392,East,2,850.0,1,0
393,North,2,850.0,1,0
394,East,2,850.0,1,0
395,Null,1,850.0,1,0
396,East,2,850.0,1,0
397,West,2,850.0,1,0
398,West,2,850.0,1,0
399,West,2,850.0,1,0
400,West,2,850.0,1,0
401,West,2,850.0,1,0
402,West,2,850.0,1,0
403,West,2,850.0,1,0
404,West,2,850.0,1,0
405,Null,2,850.0,1,0
406,Null,2,850.0,1,0
407,Null,2,850.0,1,0
408,Null,2,850.0,1,0
409,East,1,850.0,1,0
410,East,1,850.0,1,0
411,North,1,900.0,1,0
412,Null,2,850.0,1,0
413,North,2,850.0,1,0
414,North,2,850.0,1,0
415,North,1,850.0,1,0
416,West,1,855.0,1,0
417,East,2,860.0,1,0
418,East,2,860.0,1,0
419,East,2,860.0,1,0
420,East,2,860.0,1,0
421,East,2,860.0,1,0
422,East,2,860.0,1,0
423,East,2,860.0,1,0
424,East,2,860.0,1,0
425,East,2,860.0,1,0
426,East,2,860.0,1,0
427,East,2,860.0,1,0
428,East,2,860.0,1,0
429,East,2,860.0,1,0
430,East,2,860.0,1,0
431,East,2,860.0,1,0
432,East,2,860.0,1,0
433,East,2,860.0,1,0
434,East,2,860.0,1,0
435,East,2,860.0,1,0
436,East,2,860.0,1,0
437,Null,1,860.0,1,0
438,North,1,860.0,1,0
439,North,1,860.0,1,0
440,West,1,860.0,1,0
441,West,1,860.0,1,0
442,West,1,860.0,1,0
443,Null,2,860.0,1,0
444,Null,1,865.0,1,0
445,West,1,865.0,1,0
446,Null,2,880.0,1,0
447,Null,1,914.0,1,0
448,North,1,869.0,1,0
449,Null,1,870.0,1,0
450,Null,2,870.0,1,0
451,Null,2,870.0,1,0
452,Null,2,870.0,1,0
453,East,1,870.0,1,0
454,Null,2,870.0,1,0
455,Null,2,870.0,1,0
456,Null,2,870.0,1,0
457,Null,2,870.0,1,0
