location_name_shorthand,beds,baths,price,Furnished,Parking,Laundry
Null,6,2,0,No,No,
Null,3,1.5,1440,No,No,unit
Null,6,1,0,No,No,
Null,1,1,599,No,No,
East,5,2,2500,No,No,
West,3,1,0,No,No,
North,3,1,1499,No,No,unit
Null,4,1.5,500,No,No,
West,7,3,4000,No,No,
Null,4,2,1900,No,No,unit
East,2,1.5,1150,No,No,building
Null,3,2,1550,No,No,unit
Null,3,2,1550,No,No,unit
Null,3,2,1550,No,No,unit
Null,3,2,1485,No,No,unit
Null,3,2,1550,No,No,unit
Null,3,2,1550,No,No,unit
Null,3,2,1550,No,No,unit
Null,3,2,1485,No,No,unit
Null,3,2,1550,No,No,unit
Null,3,2,1800,No,No,unit
Null,3,2,1550,No,No,unit
Null,3,2,1485,No,No,unit
Null,3,2,1485,No,No,unit
Null,3,2,1200,No,No,unit
Null,4,2,0,No,No,
Null,6,2,0,No,No,
West,3,1,0,No,No,
West,4,2,2080,No,No,
East,5,2,2650,No,No,building
Null,4,3,0,No,No,
Null,5,3,0,No,No,
Null,5,3,500,No,No,unit
Null,3,1,1610,No,No,
Null,1,1,760,No,No,
West,4,1,1650,No,Yes,building
West,2,1,1450,No,Yes,building
West,2,1,1575,No,Yes,building
West,1,1,875,No,Yes,building
Null,5,2,2650,No,Yes,unit
Null,4,1,2000,No,Yes,unit
East,4,2,0,No,No,
East,5,2,0,No,No,
North,1,1,599,No,No,unit
North,1,1,799,No,No,unit
North,1,1,699,No,No,unit
North,1,1,699,No,No,unit
North,1,1,649,No,No,unit
North,1,1,649,No,No,unit
North,1,1,649,No,No,unit
North,1,1,799,No,No,unit
North,1,1,799,No,No,unit
North,1,1,699,No,No,unit
North,1,1,699,No,No,unit
North,1,1,699,No,No,unit
North,1,1,649,No,No,unit
North,1,1,749,No,No,unit
North,1,1,749,No,No,unit
North,1,1,649,No,No,unit
North,1,1,799,No,No,unit
North,1,1,699,No,No,unit
West,6,2,0,No,No,building
East,2,1,1140,No,Yes,unit
East,2,1,940,No,Yes,unit
Null,1,1,999,No,No,
Null,2,1,1550,No,No,
Null,2,1,1249,No,No,
Null,2,1,999,No,No,
Null,4,2.5,2399,Yes,Yes,building
Null,4,2.5,2399,Yes,No,building
Null,4,2.5,2399,Yes,Yes,building
Null,4,2.5,2399,Yes,Yes,building
Null,3,2.5,1949,Yes,Yes,building
Null,3,2.5,1949,Yes,No,building
