location,beds,price,baths,location_sector,parking,laundry,furnished
East,2,750,1,Central,No,None,No
East,2,750,1,Central,No,None,No
West,1,2200,2,Northwest,Yes,building,Yes
Null,1,750,1,Clintonville,Yes,building,Yes
West,1,850,1,Northwest,Yes,building,Yes
Null,1,751,1,Northwest,No,building,No
North,2,765,1,Central,No,building,No
Null,1,794,1,University,No,building,No
North,1,770,1,Northeast,Yes,building,Yes
West,1,770,1,Southwest,No,building,No
East,2,770,1,Central,No,None,No
East,1,775,1,Central,Yes,None,Yes
Null,1,775,1,Southeast,No,unit,No
East,1,775,1,Northeast,No,unit,No
Null,1,775,1,Southwest,No,building,No
North,1,775,1,Northwest,No,None,No
East,1,1200,1,Central,No,building,No
East,2,775,1,Southeast,No,None,No
North,2,775,1,Central,No,None,No
Null,1,780,1,Southeast,No,unit,No
West,1,780,1,Northwest,No,None,No
Null,2,790,1,Northeast,No,building,No
Null,2,790,1,Northeast,No,building,No
North,1,790,1,Northeast,No,building,No
North,1,790,1,Northwest,No,None,No
East,6,4770,2,Central,No,unit,No
Null,1,795,1,Southeast,No,building,No
Null,1,795,1,Southeast,No,unit,No
Null,1,795,1,Southeast,No,unit,No
East,2,795,1,Northeast,No,None,No
East,1,795,1,Central,No,building,No
East,1,795,1,Central,No,building,No
East,2,1100,1,Northeast,No,None,No
East,2,1100,1,Northeast,No,None,No
North,1,795,1,Northwest,No,building,No
Null,1,799,1,Grandview,No,building,No
West,1,800,1,Central,Yes,building,Yes
West,1,800,1,Northwest,Yes,building,Yes
West,4,3200,2,Southwest,No,unit,No
West,4,3200,2,Southwest,No,unit,No
West,1,860,1,Southwest,Yes,building,Yes
Null,2,890,1,Northeast,No,building,No
Null,2,870,1,None,Yes,building,Yes
Null,1,900,1,None,Yes,building,Yes
East,2,995,1,Central,Yes,building,Yes
North,1,800,1,Northwest,No,building,No
Null,2,1000,1,Northwest,No,unit,No
North,2,800,1,Central,No,building,No
North,2,800,1,Central,No,None,No
North,2,800,1,Central,No,None,No
North,2,800,1,Central,No,None,No
North,2,800,1,Central,No,None,No
North,2,800,1,Central,No,None,No
North,2,800,1,Central,No,None,No
North,2,800,1,Central,No,None,No
East,3,1074,3,None,Yes,unit,Yes
North,1,800,1,Northwest,No,building,No
Null,1,808.95,1,Northwest,Yes,building,Yes
North,1,810,1,Northwest,No,None,No
West,2,810,1,Grandview,No,building,No
Null,2,810,1,Grandview,No,building,No
Null,2,810,1,Grandview,No,building,No
Null,2,810,1,Grandview,No,unit,No
Null,2,810,1,Grandview,No,building,No
Null,2,810,1,Grandview,No,building,No
Null,2,810,1,Northeast,No,building,No
Null,2,810,1,Northeast,No,building,No
West,1,815,1,Northwest,Yes,building,Yes
East,1,815,1,Southeast,No,None,No
East,1,815,1,Southeast,No,unit,No
East,1,815,1,Southeast,No,unit,No
East,1,815,1,Southeast,No,unit,No
Null,2,820,1,Grandview,No,building,No
East,1,820,1,Northeast,No,None,No
East,2,825,1,Central,No,building,No
East,2,825,1,Central,No,building,No
Null,1,825,1,Southwest,No,unit,No
Null,2,825,1,Northeast,No,building,No
Null,2,825,1,Northeast,No,building,No
Null,1,826,1,Northwest,Yes,building,Yes
North,1,830,1,Northeast,No,building,No
North,1,830,1,Northeast,No,building,No
North,1,830,1,Northeast,No,building,No
North,1,830,1,Northwest,No,building,No
West,2,1965,2,None,Yes,unit,Yes
West,2,859,1,University,No,None,No
Null,1,840,1,Northeast,No,building,No
Null,1,840,1,Southwest,No,building,No
Null,1,840,1,Southwest,Yes,building,Yes
Null,1,840,1,Southwest,Yes,building,Yes
Null,1,845,1,Southeast,No,None,No
Null,1,845,1,Southeast,No,None,No
North,1,845,1,Northeast,No,building,No
East,1,905,1,Central,Yes,building,Yes
Null,2,849,1,Clintonville,No,building,No
Null,2,850,1,Northeast,No,None,No
Null,2,850,1,Northeast,No,building,No
North,2,850,1,Northeast,No,building,No
East,2,850,1,Central,No,None,No
East,2,850,1,Central,No,building,No
East,2,850,1,Central,No,building,No
East,2,850,1,Central,No,building,No
Null,1,850,1,Southwest,No,None,No
East,1,850,1,Central,No,unit,No
East,2,850,1,Central,No,building,No
West,2,850,1,Northwest,No,building,No
West,2,850,1,Northwest,No,building,No
West,2,850,1,Northwest,No,building,No
West,2,850,1,Northwest,No,building,No
West,2,850,1,Northwest,No,building,No
West,2,850,1,Northwest,No,building,No
Null,2,850,1,Grandview,No,building,No
Null,2,850,1,Grandview,No,building,No
Null,2,850,1,Grandview,No,building,No
Null,2,850,1,Grandview,No,building,No
East,1,850,1,Southeast,No,unit,No
East,1,850,1,Central,Yes,building,Yes
North,1,950,1,Italian,No,None,No
North,2,850,1,Central,No,building,No
North,2,850,1,Central,No,building,No
West,1,855,1,None,No,unit,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
East,2,860,1,Central,No,building,No
